num,avg_comp,avg_time
2,1,0.0000
4,3,0.0000
8,7,0.0000
16,15,0.1000
32,31,0.0000
64,63,0.1000
128,126,0.0000
256,253,0.2000
512,506,0.6000
1024,1013,0.7000
2048,2027,2.6000
4096,4055,5.7000
